,phi,se_TMC_T1000,loo
A11M3WJ9A9KH6A,0.00037536095990223597,0.00021451480732721575,-0.0003512563858772966
A11SLRXUNTJBJN,0.021640242243536268,0.0017370763572779314,0.0010132441907978462
A1K96S33FDRUJW,0.021584865457720932,0.0019194750709285895,0.0019163039516660318
A1PX8UYPRGZCO9,0.006866043189225639,0.0015647863232439159,-0.0005817156865371431
A1WCS9A1G451ET,-0.002607252485977865,0.00032235791257264354,-0.00025990445953805175
A26T0QJQ6I109E,0.017794247437495622,0.0019183285914153485,0.0006222268776729378
A2RD52WSOW2N9V,0.00949747078361539,0.001321983480418234,0.0004843563918444094
A2YTQZXX709TKL,0.03443950863231409,0.0021954383935252246,0.013653493245032955
A32U6TE5GJV6FS,0.035730947926600545,0.0021907273019132747,0.012925404394264706
A3EGTD5X91JG0H,-0.0024819452531368988,0.0015802315530851533,-0.0008402162037438043
A3HKZTDVORNEZ,0.004388864668815663,0.0005812457373407469,-0.00041048943698562823
A3OVORVFL0XDTW,0.02687890791612809,0.0022756815761875346,0.012536914139780753
ABICTZWG5DU3G,0.03145984251539755,0.002250967680173201,0.011794624537361353
AO7W3AV3GOAEY,0.012899511704762622,0.0015079135393474639,8.062569749611725e-06
AOCJFXTIP7H3A,0.02829965590538678,0.002429958957641833,0.00892517080633326
AWAFCJJRHVAJJ,0.010749353328447273,0.0018822651134115269,-0.0010815919405685048
