estrategia,auroc,ap,k,contexto,d_auroc,d_auroc_lo,d_auroc_hi,d_ap,d_ap_lo,d_ap_hi,condicion
completo,0.8874753164795224,0.5895412343634087,0,False,0.0,0.0,0.0,0.0,0.0,0.0,C0_limpio
guiada,0.8874753164795224,0.5895412343634087,0,False,0.0,0.0,0.0,0.0,0.0,0.0,C0_limpio
heur_menor_tamaño,0.8877851509872837,0.5920470662734448,3,True,0.00030156864039541914,-0.0006168619770123784,0.0011876811058035993,0.002488933257104885,0.000394130590652389,0.0041077163157195945,C0_limpio
heur_mas_ausentes,0.8877429423098642,0.5932685691617811,3,True,0.00029537906970217444,-0.0010743466426717141,0.0017028481977928057,0.0037342054379808746,0.0012318854764065746,0.006570967848167114,C0_limpio
aleatoria,0.8840632582589263,0.584472854850028,3,True,-0.0034223116312351153,-0.004746414438535344,-0.001961642771098027,-0.005154939520045761,-0.0087711678783674,-0.0019408120440816687,C0_limpio
completo,0.886630458466091,0.5872646320346467,0,False,0.0,0.0,0.0,0.0,0.0,0.0,C1_bal_0.50
guiada,0.886630458466091,0.5872646320346467,0,False,0.0,0.0,0.0,0.0,0.0,0.0,C1_bal_0.50
heur_menor_tamaño,0.8860714786840475,0.5890037704609677,3,True,-0.0005803600013405745,-0.0016004825690043745,0.0005509759422662574,0.001776088615721276,-0.000597863798315798,0.0040824227467982045,C1_bal_0.50
heur_mas_ausentes,0.8865923565789068,0.5908256936132561,3,True,-2.8541951494167974e-05,-0.0016017896902230182,0.0017540915342859449,0.003606968595388452,0.0004169893825636928,0.007013873075324841,C1_bal_0.50
aleatoria,0.8819877777359494,0.5803688420686761,3,True,-0.004670343249317385,-0.0061673323941982446,-0.003083060912747219,-0.006959254840852639,-0.010727432451738914,-0.003231900556733188,C1_bal_0.50
completo,0.8812533011178454,0.5852023748571549,0,False,0.0,0.0,0.0,0.0,0.0,0.0,C2_bal_1.00
guiada,0.8846445972322514,0.5871782404380653,4,False,0.0035584263435123288,0.0004475163838193991,0.007293377044972748,0.001827370720949536,-0.004407583011237312,0.008529321750678614,C2_bal_1.00
heur_menor_tamaño,0.8791043090496545,0.5849398307673184,4,False,-0.002128254591954016,-0.0038334196354667892,-0.00039620118942972977,-0.0001567143599099093,-0.002878908252231788,0.0028866562664968936,C2_bal_1.00
heur_mas_ausentes,0.8773053067715266,0.5841996843397421,4,False,-0.0038777369778528947,-0.006538837762887023,-0.0012291714441240696,-0.0010597587569218777,-0.005392709072514962,0.0040460489979278775,C2_bal_1.00
aleatoria,0.8760272736502633,0.5778076487176692,4,False,-0.005227650566406541,-0.006896463898579433,-0.00353408017281406,-0.0074834586476096405,-0.010456640330794966,-0.004367632272513806,C2_bal_1.00
completo,0.7850006331301612,0.4435228446749612,0,False,0.0,0.0,0.0,0.0,0.0,0.0,C3_rand_0.50
guiada,0.7850006331301612,0.4435228446749612,0,False,0.0,0.0,0.0,0.0,0.0,0.0,C3_rand_0.50
heur_menor_tamaño,0.7808091973848872,0.44389767902094773,3,True,-0.004266695054675333,-0.005616228552387773,-0.0026699265974619636,0.0003755449959889131,-0.002325719251571662,0.003001222604939391,C3_rand_0.50
heur_mas_ausentes,0.7857555980684398,0.4514469923411883,3,True,0.00076296748757077,-0.0019911243906237247,0.003373527463674077,0.00797146662251214,0.003536755561744097,0.012704230265298475,C3_rand_0.50
aleatoria,0.7794323731429607,0.4338550985155162,3,True,-0.005624094378731187,-0.009220584962734068,-0.002318132496613564,-0.009822209584927837,-0.015100905396737363,-0.004872629568435957,C3_rand_0.50
