,exacto,tmc,se,error
63,0.05169195261690531,0.051813780724050754,0.004651850106147315,0.00012182810714544273
73,0.05728482948246723,0.0495037597421373,0.005068123464847006,0.007781069740329931
184,0.05430660333676669,0.056689638361481255,0.0061811452695162625,0.0023830350247145624
244,0.01644244933618552,0.016313425259827406,0.002686341463129028,0.0001290240763581127
275,0.0547615810328679,0.06996658162393307,0.008007815453518065,0.015205000591065172
281,0.04472527094760721,0.03802845659972268,0.004947482658018784,0.006696814347884529
301,0.038996148960664084,0.034829040061199495,0.0041130151736379,0.004167108899464589
382,0.038964918103040355,0.03605550902734242,0.003306853911490649,0.0029094090756979357
392,0.029913107226382015,0.03255780817026009,0.0035211404650243847,0.0026447009438780762
452,0.05237399240431973,0.053702853877251516,0.00672698348362356,0.0013288614729317846
