bloque,evals_v,ajustes,veces,min_condicion,min_total,tipo
panel: daño por fuente,0.0,40.0,4.0,0.1736872990926107,0.6947491963704427,previsto
panel: piloto TMC (b y c),857.0,0.0,4.0,1.0685810837958687,4.274324335183475,previsto
panel: potencia,0.0,2.0,4.0,0.008684364954630534,0.03473745981852214,previsto
TMC completo (menos el piloto),3515.0,0.0,4.0,4.382803395032064,17.531213580128256,previsto
LOO,21.0,0.0,4.0,0.026184600653107633,0.10473840261243053,previsto
cierre del bucle,0.0,9.0,4.0,0.0390796422958374,0.1563185691833496,previsto
"Shapley exacto (10 jugadores, solo limpio)",1024.0,0.0,1.0,1.2768110032753437,1.2768110032753437,previsto
carga,,,,,0.15007851521174112,real
exacto,,,,,2.8467646996180216,real
total,,,,,38.93179205258687,real
